,price,street,neighborhood,parking,balconies,buildingMR,TotalFloors,asset_classification,rooms,floor,shelter,on_pillars,elevator,storeroom,lat,long,home_number,home_number_2,item_id
0,"3,250,000 ₪",שתולים,"עזרא, הארגזים",1,1,102,18.0,6,3,5,1,0,1,1,32.043892,34.795646,57.0,57.0,y0nseb97
1,"4,890,000 ₪",קהילת לודז',הדר יוסף,ללא,1,200,1.0,2,4,0,0,0,0,0,32.108076,34.818723,53.0,53.0,l6bmgajz
2,"16,700,000 ₪","ש""י עגנון",כוכב הצפון,2,1,230,12.0,1,5,11,1,1,1,1,32.102358,34.787979,28.0,28.0,rekrmgyg
3,"8,300,000 ₪",משמר הגבול,אפקה,1,1,165,8.0,2,6,3,0,0,1,1,32.123997,34.804439,17.0,17.0,zn763hwo
4,"4,900,000 ₪",רמברנדט,הצפון החדש - דרום,ללא,2,75,4.0,3,3,1,0,0,0,0,32.083867,34.784404,34.0,34.0,iva2dlfy
5,"8,590,000 ₪",יונתן הופסי,הצפון החדש - צפון,1,1,115,6.0,1,4,5,1,0,1,0,32.094216,34.785334,6.0,6.0,y8dfse56
6,"3,850,000 ₪","מח""ל","כפיר, נווה כפיר",1,1,137,13.0,6,4,12,1,0,1,0,32.049381,34.801969,14.0,14.0,3ghc7sm7
7,"2,100,000 ₪",משגב עם,קרית שלום,ללא,0,45,4.0,3,2,4,0,1,0,0,32.041932,34.77383,6.0,6.0,fpm9ehml
8,"10,200,000 ₪",שדרות רוקח,כוכב הצפון,2,1,148,25.0,1,5,14,1,1,1,1,32.099579,34.790578,51.0,51.0,35zdbhgs
9,"8,300,000 ₪",פרופ' יובל נאמן,"תכנית ל', למד",3,1,160,12.0,6,5,10,0,1,0,1,32.111021,34.788098,11.0,11.0,xnl05fph
10,"16,000,000 ₪",יצחק אלחנן,נווה צדק,2,1,194,4.0,1,4,4,0,0,0,0,32.06444,34.767795,14.0,14.0,bnhef4zx
11,"12,500,000 ₪",ליפסקי,הצפון החדש - כיכר המדינה,1,1,230,5.0,1,5,1,1,0,0,0,32.088839,34.788052,9.0,9.0,agiydmcf
