,DATE,DEALAMOUNT,BUILDINGYEAR,BUILDINGFLOORS,NEIGHBORHOOD,ROOMNUM,FLOOR,ASSETMETER,long,lat,Distance_From_Sea,AVG_SALARY
0,2022,2019000.0,1970,4.0,0,4.0,5.0,70.0,661887.81,182342.5,5108.0,5574
1,2022,3410000.0,1940,2.0,1,4.0,2.0,94.0,661229.19,178777.2,1936.0,4863
2,2022,3900000.0,2019,4.0,2,5.0,22.0,137.0,661876.0131,181306.8267,4130.0,5655
3,2022,3900000.0,2019,4.0,2,5.0,22.0,137.0,661853.4802,181259.9201,4092.0,5655
4,2022,3200000.0,1950,1.0,1,3.5,1.0,74.0,661382.88,179405.09,2483.0,4863
5,2022,2100000.0,1970,4.0,0,4.0,6.0,70.0,661887.81,182342.5,5108.0,5574
6,2022,4555000.0,2020,3.0,3,3.0,4.0,67.0,662899.6613,178612.8646,1250.0,7827
7,2022,4555000.0,2020,3.0,3,3.0,4.0,67.0,662912.1833,178610.7625,1244.0,7827
8,2022,2300000.0,1992,7.0,4,3.0,4.0,75.0,660704.31,178100.7,1461.0,4634
9,2022,3700000.0,1948,3.0,5,3.0,6.0,80.0,666405.88,178972.91,479.0,9233
10,2022,6800000.0,1958,3.0,6,4.0,1.0,117.0,664767.88,179294.2,1303.0,8860
11,2022,3150000.0,1950,2.0,5,2.0,1.0,59.0,667049.19,178828.3,137.0,9233
12,2022,3882000.0,2023,3.0,7,2.0,7.0,55.0,665715.19,180304.09,1960.0,10649
13,2022,2772000.0,2022,5.0,8,3.0,3.0,69.0,661898.5,177028.09,65.0,4533
14,2022,4957000.0,2022,3.0,9,4.0,13.0,104.0,661030.69,177636.41,917.0,4465
15,2022,4957000.0,2022,3.0,9,4.0,13.0,111.0,661030.69,177636.41,917.0,4465
16,2022,4957000.0,2022,3.0,9,5.0,13.0,122.0,661030.69,177636.41,917.0,4465
17,2022,4957000.0,2022,3.0,9,4.0,13.0,111.0,661030.69,177636.41,917.0,4465
18,2022,4957000.0,2022,3.0,9,5.0,13.0,122.0,661030.69,177636.41,917.0,4465
19,2022,4957000.0,2022,3.0,9,5.0,13.0,119.0,661030.69,177636.41,917.0,4465
20,2022,4050000.0,1950,4.0,5,2.0,2.0,63.0,666088.5,179234.8,828.0,9233
21,2022,5050000.0,1998,9.0,10,4.0,2.0,102.0,668573.5,180368.0,1114.0,9828
22,2022,7400000.0,1950,3.0,11,3.0,1.0,95.0,664354.69,179206.59,1351.0,8531
23,2022,2677000.0,1930,2.0,11,2.0,1.0,49.0,663945.8846,178301.2913,623.0,8531
24,2022,6450000.0,1960,3.0,5,4.0,5.0,100.0,666508.62,178743.0,228.0,9233
25,2022,3550000.0,1970,7.0,12,4.0,2.0,87.0,663407.19,180757.7,3123.0,5756
26,2022,5450000.0,1960,2.0,13,3.0,4.0,78.0,666872.88,179827.8,1141.0,10004
27,2022,3851000.0,1960,3.0,14,2.0,5.0,55.0,665478.38,180206.8,1943.0,10109
28,2022,7500000.0,1946,4.0,13,4.0,1.0,115.0,666843.19,180325.0,1622.0,10004
29,2022,3327000.0,2025,9.0,0,4.0,7.0,107.0,662142.81,182116.8,4813.0,5574
30,2022,4950000.0,1965,3.0,13,3.0,3.0,70.0,666805.0,179969.7,1297.0,10004
31,2022,2019000.0,1970,4.0,0,4.0,5.0,70.0,661887.81,182342.5,5108.0,5574
32,2022,2500000.0,1950,2.0,8,3.0,0.0,66.0,660906.6831,176862.7144,223.0,4533
33,2022,2670000.0,1970,4.0,15,3.0,4.0,102.0,661608.88,182276.41,5134.0,6064
34,2022,2400000.0,2002,7.0,11,2.0,4.0,33.0,663956.5416,178484.6935,793.0,8531
35,2022,2800000.0,1979,3.0,16,2.0,1.0,52.0,669393.12,183295.41,3629.0,9793
36,2022,3930000.0,1970,7.0,17,4.0,2.0,78.0,669149.88,180747.0,1290.0,9580
37,2022,4980000.0,2022,3.0,9,5.0,14.0,119.0,661030.69,177636.41,917.0,4465
38,2022,3650000.0,2016,7.0,18,3.0,4.0,62.0,662577.88,178879.0,1605.0,4988
39,2022,2460000.0,1940,3.0,5,3.0,2.0,57.0,665868.12,179384.59,1040.0,9233
40,2022,3500000.0,1960,3.0,19,2.0,1.0,45.0,668265.81,180669.5,1497.0,7837
41,2022,1500000.0,1950,4.0,20,2.0,1.0,30.0,661826.2856,178942.5537,1903.0,4583
42,2022,4600000.0,1970,4.0,17,3.0,1.0,89.0,669301.81,180890.09,1377.0,9580
43,2022,2600000.0,2008,17.0,3,2.0,3.0,52.0,662486.62,178589.626,1359.0,7827
44,2022,3728000.0,2020,20.0,21,5.0,7.0,125.0,661297.4893,180935.7492,3961.0,4600
45,2022,2000000.0,1960,4.0,22,3.0,1.0,54.0,660246.69,177282.5,831.0,4428
46,2022,6107000.0,1950,3.0,7,3.0,1.0,106.0,665775.69,180573.0,2196.0,10649
47,2022,6107000.0,1950,3.0,7,4.0,1.0,106.0,665775.69,180573.0,2196.0,10649
48,2022,4050000.0,1958,3.0,13,2.0,3.0,50.0,666503.69,180218.5,1629.0,10004
49,2022,1169000.0,1970,4.0,23,4.0,2.0,116.0,669217.12,185020.91,5322.0,6642
50,2022,4700000.0,1970,8.0,17,4.0,4.0,91.0,669274.175,181373.9483,1845.0,9580
51,2022,6267000.0,2021,2.0,11,4.0,4.0,95.0,664273.12,178761.0,955.0,8531
