,price,neighborhood,parking,balconies,buildingMR,TotalFloors,asset_classification,rooms,floor,shelter,on_pillars,elevator,storeroom,lat,long,home_number,buildyear,Distance_From_Sea,year
0,3250000,0,1,1,102,18.0,6,3,5,1,0,1,1,180839.0,661251.0,57.0,2019,4661,2023
1,4890000,1,0,1,200,1.0,2,4,0,0,0,0,0,183044.0,668361.0,53.0,2016,4349,2023
2,16700000,2,2,1,230,12.0,1,5,11,1,1,1,1,180140.0,667737.0,28.0,2021,1424,2023
3,8300000,3,1,1,165,8.0,2,6,3,0,0,1,1,181703.0,670131.0,17.0,1969,2212,2023
4,4900000,4,0,2,75,4.0,3,3,1,0,0,0,0,179795.0,665688.0,34.0,2018,1830,2023
5,8590000,5,1,1,115,6.0,1,4,5,1,0,1,0,179887.0,666836.0,6.0,1950,1492,2023
6,3850000,6,1,1,137,13.0,6,4,12,1,0,1,0,181439.0,661858.0,14.0,2021,5082,2023
7,2100000,7,0,0,45,4.0,3,2,4,0,1,0,0,178778.0,661042.0,6.0,1999,2497,2023
8,8300000,8,3,1,160,12.0,6,5,10,0,1,0,1,180155.0,668698.0,11.0,2016,1073,2023
9,16000000,9,2,1,194,4.0,1,4,4,0,0,0,0,178218.0,663540.0,14.0,2022,934,2023
10,12500000,10,1,1,230,5.0,1,5,1,1,0,0,0,180141.0,666238.0,9.0,2023,1997,2023
11,9690000,5,1,0,234,4.0,1,6,0,1,0,0,1,180214.0,666556.0,8.0,2021,1955,2023
12,14900000,11,1,2,172,6.0,1,5,6,1,1,1,1,178669.0,666237.0,17.0,2022,395,2023
13,5850000,12,1,1,122,6.0,3,4,2,1,0,1,1,180265.0,669424.0,15.0,2008,916,2023
14,3650000,6,1,0,116,13.0,6,4,6,1,0,1,0,181439.0,661858.0,14.0,2021,5082,2023
15,5150000,13,1,1,120,8.0,6,4,7,1,0,1,0,184431.0,670550.0,49.0,2015,5024,2023
16,4500000,10,1,0,89,8.0,3,3,1,0,0,0,0,180527.0,665690.0,8.0,2023,2627,2023
